'gener', 5
'bhai', 5
'ek', 5
'kre', 5
'jo', 5
'toh', 5
'plzz', 5
'ahead', 5
'counter', 5
'creat', 5
'pappu', 5
'count', 5
'valuabl', 5
'power', 5
'hand', 5
'contact', 5
'talk', 5
'sinc', 5
'pro', 5
'crore', 5
'build', 5
'🤣', 5
'lot', 5
'simpli', 5
'jammu', 5
'jagran', 5
'initi', 5
'futur', 5
'great', 5
'organis', 5
'samarthan', 5
'⬅️', 5
"'done", 5
'said', 5
'hon', 5
'dont', 5
'buddhist', 5
'voic', 5
'nagar', 5
'mp', 5
'thread', 4
'rajneeti', 4
'c', 4
'toward', 4
'target', 4
'ideolog', 4
'rw', 4
'joke', 4
'charg', 4
'mamta', 4
'🤳miss', 4
'citizenshipammendmentact2019', 4
'write', 4
"'re", 4
'secular', 4
'avoid', 4
'gandhi', 4
'union', 4
"'support", 4
'polit', 4
'expect', 4
'came', 4
'mention', 4
'rajasthansupportscaa', 4
'1000', 4
'aazadi', 4
'leftist', 4
'gather', 4
'import', 4
'step', 4
'wit', 4
'terror', 4
'liber', 4
'digit', 4
'zee', 4
'e', 4
'line', 4
'jaihind', 4
'sure', 4
'एंटीनेशनल', 4
'हैं', 4
'chahiy', 4
'nd', 4
'नंबर', 4
'trend', 4
'hav', 4
'hey', 4
'grant', 4
'oppress', 4
'humanitarian', 4
'run', 4
'night', 4
'put', 4
'complet', 4
'apna', 4
'8866288662*', 4
'mark', 4
'nrp', 4
'hold', 4
'anti-caa', 4
'peac', 4
'actual', 4
'forc', 4
'best', 4
"'ll", 4
'result', 4
'remain', 4
'pro-caa', 4
'commun', 4
'keep', 4
'matter', 4
'में', 4
'सावरकर', 4
'reader', 4
'patriot', 4
'fellow', 4
'along', 4
'📞8866288662', 4
'abhiyaan', 4
'immedi', 4
'kais', 4
'yr', 4
'stone', 4
'pelt', 4
'day', 4
'humbl', 4
'automat', 4
'पर', 4
'unit', 4
'ralli', 4
'word', 4
'95', 4
'block', 4
'hous', 4
'reiter', 4
'villag', 4
'mandal', 4
'😊', 4
'fool', 4
'kind', 4
'jihadi', 4
'leav', 4
'💓6', 4
'🧡6', 4
'💚6', 4
'💛6', 4
'💜6', 4
'❣️6', 4
'parsi', 4
'drum', 3
'depart', 3
'receiv', 3
'garner', 3
'wonder', 3
'thing', 3
'me*', 3
'screenshot', 3
'play', 3
'movi', 3
'—', 3
'😘', 3
'someth', 3
'action', 3
'lure', 3
'virat', 3
'kohli', 3
'nomin', 3
'cricket', 3
'agre', 3
'chanc', 3
'major', 3
'someon', 3
'high', 3
'servic', 3
'cost', 3
'di', 3
'video', 3
'month', 3
'luck', 3
'morn', 3
'illeg', 3
'link', 3
'address', 3
'program', 3
'correct', 3
'women', 3
'ecosystem', 3
'rather', 3
'caught', 3
'viciou', 3
'cycl', 3
'landscap', 3
'lover', 3
'nahi', 3
'activ', 3
'winningsid', 3
'ho', 3
'soon', 3
'mislead', 3
'method', 3
'gain', 3
'na', 3
'💪', 3
'mi', 3
'team', 3
'everyth', 3
'anyway', 3
'order', 3
'sex', 3
'check', 3
'👆', 3
'ram', 3
'constitut', 3
'singl', 3
'taken', 3
'treat', 3
'dena', 3
'suppot', 3
'non', 3
'never', 3
'place', 3
'happen', 3
'🤙', 3
'openli', 3
'per', 3
'allow', 3
'king', 3
'mein', 3
'indiadoesnotsupportcaa', 3
'date', 3
'opinion', 3
'massiv', 3
'अपने', 3
'system', 3
'strongli', 3
'welcom', 3
'prove', 3
'remov', 3
'whole', 3
'confirm', 3
'😎', 3
'verifi', 3
'yogikagundaraj', 3
'dr', 3
'tel', 3
'till', 3
'fir', 3
'andhra', 3
'huge', 3
'narr', 3
'nrcprotest', 3
'-caa', 3
'effect', 3
'may', 3
'urgent', 3
'😭', 3
'relat', 3
'fight', 3
'strengthen', 3
'set', 3
'moron', 3
'watch', 3
'strength', 3
'road', 3
'prosecut', 3
'88662-88662', 3
'10', 3
'benefit', 3
'nationfirst', 3
'ca', 3
'w', 3
'fail', 3
'jay', 3
'reject', 3
'celebr', 3
'listen', 3
'silent', 3
'bit', 3
'relief', 3
'digniti', 3
'final', 3
'भगवा', 3
'की', 3
'योगीजी', 3
'suport', 3
'feel', 3
'इस', 3
'*8866288662*', 3
'misinform', 3
'decis', 3
'afganistan', 3
'👌', 3
'bjp4india', 3
'diall', 3
'open', 3
'thursday', 3
'pmmodi', 3
'lost', 3
'reveal', 3
'🤗', 3
'11', 3
'templ', 3
'maximum', 3
'🕉️', 3
'kark', 3
'strong', 3
'caajanjagaran', 3
'readi', 3
'72518-72518', 3
'bhakt', 3
'watan', 3
'nubber', 3
'legitim', 3
'distribut', 3
'pamphlet', 3
'presenc', 3
'☑️', 3
'utho', 3
'kro', 3
'spend', 3
'togeth', 3
'directli', 3
'wrong', 3
'burn', 3
'continu', 3
'hate', 3
'sugar', 3
'coat', 3
'entic', 3
'✊', 3
'auto', 3
'dialer', 3
'fudg', 3
'sens', 3
'aur', 3
'rss', 3
'await', 3
'💓8', 3
'🧡8', 3
'💚8', 3
'💛8', 3
'💜8', 3
'❣️8', 3
'😅', 3
'proud', 3
'territori', 3
'sovereignti', 3
'integr', 3
'sye', 3
'kari', 3
'pyaar', 3
'voh', 3
"is'sy", 3
'kaery', 3
'inkaar', 3
'leadership', 3
'💯', 3
'veersavarkar', 3
'nri', 3
'karnatakawithmodi', 3
'trikuta', 3
'dosti', 2
'friday', 2
'agenda', 2
'jee', 2
'bad', 2
'ishai', 2
'patron', 2
'rashtavaqt', 2
'man', 2
'nobl', 2
'pathet', 2
'troll', 2
'programm', 2
'baba', 2
'head', 2
'dumb', 2
'unga', 2
'stock', 2
'role', 2
'break', 2
'akshay', 2
'kumar', 2
'duti', 2
'banpfi', 2
'*call', 2
'appeas', 2
'iranwar', 2
'hindustani', 2
'began', 2
'solicit', 2
'minut', 2
'bank', 2
'etc', 2
'viratkohli', 2
'vision', 2
'knowledg', 2
'confus', 2
'behind', 2
'rioter', 2
'inform', 2
'ever', 2
'code', 2
'neglect', 2
'educ', 2
'normal', 2
'6', 2
'usernam', 2
'password', 2
'valid', 2
'caller', 2
'🙏good', 2
'larg', 2
'terrorist', 2
'forcaa', 2
'saar', 2
'dheer', 2
'belov', 2
'success', 2
'anti-nationalist', 2
'particip', 2
'g', 2
'15', 2
'send', 2
'ucc', 2
'aap', 2
'kart', 2
'krne', 2
'hope', 2
'reduc', 2
'lest', 2
'updat', 2
'instead', 2
'chat', 2
'nasti', 2
'poll', 2
'9953588585', 2
'wale', 2
'hour', 2
'leak', 2
'bol', 2
'aan', 2
'jio', 2
'limit', 2
'karo', 2
'winner', 2
'truth', 2
'myth', 2
'later', 2
'parliament', 2
'malign', 2
'lone', 2
'viewerschoiceasim', 2
'shame', 2
'employ', 2
'especi', 2
'goon', 2
'view', 2
'rememb', 2
'among', 2
'shock', 2
'whether', 2
'orcong', 2
'plese', 2
'irrespons', 2
'le', 2
'*me', 2
'call*', 2
'withcaa', 2
'brain', 2
'प्रियंकाकाहाथदंगाइयोंके', 2
'साथ', 2
'hello', 2
'modiji', 2
'elect', 2
'citizenshipamendmentbill2019', 2
'increas', 2
'spam', 2
'advic', 2
'thankyou', 2
'mass', 2
'drive', 2
'vandemataram', 2
'two', 2
'istandwithcaa', 2
'btw', 2
'hack', 2
'littl', 2
'late', 2
'ｎｏｔ', 2
'behav', 2
'sunnyleon', 2
'है', 2
'नम्बर', 2
'से', 2
'damag', 2
'attack', 2
'wont', 2
'crush', 2
'lw', 2
'mock', 2
'proof', 2
'heartedli', 2
'sever', 2
'hijack', 2
'mind', 2
'thousand', 2
'dishonor', 2
'max', 2
'least', 2
'ten', 2
'😜', 2
'includ', 2
'scheme', 2
'battl', 2
'scam', 2
'rajasthan', 2
'authoris', 2
'hesit', 2
'fall', 2
'probabl', 2
'bharatsupportscaa', 2
'😋', 2
'bangladeshi', 2
'2017-', 2
'releasethepressur', 2
'helplin', 2
'exam', 2
'mental', 2
'stress', 2
'2020-', 2
'overcom', 2
'pressur', 2
'ironi', 2
'exactli', 2
'23', 2
'wo', 2
'note', 2
'wake', 2
'kotatragedi', 2
'italian', 2
'newindia', 2
'whatev', 2
'requir', 2
'other', 2
'confid', 2
'handl', 2
'lie', 2
'come-on', 2
'everybodi', 2
'boost', 2
'priceless', 2
'henc', 2
'neighbour', 2
'dynam', 2
'level', 2
'saturdaymotiv', 2
'sane', 2
'saveindia', 2
'antin', 2
'urbannax', 2
'accord', 2
"hon'bl", 2
'anoth', 2
'shown', 2
'savarkar', 2
'tollfre', 2
'pathar', 2
'modigovt', 2
'malkajgiriparliamentconstitu', 2
'goasupportscaa', 2
'hv', 2
'bjpitcel', 2
'caa-', 2
'enact', 2
'object', 2
'wife', 2
'pride', 2
'trust', 2
'million', 2
'-you', 2
'indiasupport', 2
'🏼', 2
'bottom', 2
'श्री', 2
'dad', 2
'kal', 2
'diya', 2
'tha', 2
'arey', 2
'mere', 2
'dede', 2
'yogdaan', 2
'hona', 2
'ar', 2
'three', 2
'cab2019', 2
'कृपया', 2
'चैनल', 2
'को', 2
'दिखाओ', 2
'defeat', 2
'hard', 2
'big', 2
'violenc', 2
'2-3', 2
'forget', 2
'quickli', 2
'bharatiya', 2
'num', 2
'jammuandkashmir', 2
'invalid', 2
'lucki', 2
'sha', 2
'gang', 2
'modifi', 2
'aath', 2
'chey', 2
'individu', 2
'announc', 2
'donat', 2
'rs', 2
'pov', 2
'fridaymotiv', 2
'iss', 2
'\u2066', 2
'coll', 2
'outreach', 2
'information*', 2
'stay', 2
'prevent', 2
'capt', 2
'ajit', 2
'vadakayil', 2
